instance,family,strategy,feasible,vehicle_count,total_distance,total_waiting,total_load,capacity_vehicle_lower_bound,vehicle_excess_over_capacity_lb,duplicate_customers,missing_customers,infeasible_routes,runtime_seconds,new_routes_created
C1_10_6,C1,farthest_from_depot,True,125,62274.794955229954,6903.530337981035,17940.0,90,35,0,0,0,3.9122666999464855,125
C1_10_7,C1,earliest_due,True,107,52140.223354845046,756.7846426557728,17940.0,90,17,0,0,0,4.961901300004683,107
C1_10_7,C1,earliest_ready,True,107,52140.223354845046,756.7846426557728,17940.0,90,17,0,0,0,4.733330099959858,107
C1_10_7,C1,largest_demand,True,150,95475.98950901859,6736.1574077955875,17940.0,90,60,0,0,0,4.553218099987134,150
C1_10_7,C1,farthest_from_depot,True,127,66947.02296828043,3696.5752649817964,17940.0,90,37,0,0,0,3.8772275000810623,127
C1_10_8,C1,earliest_due,True,125,74016.15242665008,4653.720190672306,17940.0,90,35,0,0,0,5.21419959992636,125
C1_10_8,C1,earliest_ready,True,135,77744.49442967816,8641.932296333725,17940.0,90,45,0,0,0,5.057579699903727,135
C1_10_8,C1,largest_demand,True,149,97467.20717479089,5606.618911923676,17940.0,90,59,0,0,0,4.410811600042507,149
C1_10_8,C1,farthest_from_depot,True,127,68666.56258830137,3485.2088524120622,17940.0,90,37,0,0,0,3.8614773000590503,127
C1_10_9,C1,earliest_due,True,105,63131.86427197367,1370.6691019655286,17940.0,90,15,0,0,0,4.642258800100535,105
C1_10_9,C1,earliest_ready,True,105,63131.86427197367,1370.6691019655286,17940.0,90,15,0,0,0,4.580651500029489,105
C1_10_9,C1,largest_demand,True,141,99398.39218489976,2829.5216893002016,17940.0,90,51,0,0,0,4.138907799962908,141
C1_10_9,C1,farthest_from_depot,True,124,74914.11944221129,1289.0235775962217,17940.0,90,34,0,0,0,3.954707600059919,124
C1_10_10,C1,earliest_due,True,129,97703.11363269617,2365.555180715776,17940.0,90,39,0,0,0,5.002336799982004,129
C1_10_10,C1,earliest_ready,True,142,99941.33957570366,11263.152076249826,17940.0,90,52,0,0,0,5.134045399958268,142
C1_10_10,C1,largest_demand,True,145,108633.81967851141,2709.839011460448,17940.0,90,55,0,0,0,4.162009299965575,145
C1_10_10,C1,farthest_from_depot,True,138,95547.2607850848,1043.8435680536156,17940.0,90,48,0,0,0,4.21232290007174,138
C2_10_1,C2,earliest_due,True,35,21851.849987429803,6667.285995807238,19150.0,28,7,0,0,0,3.615015899995342,35
C2_10_1,C2,earliest_ready,True,35,21851.849987429803,6667.285995807238,19150.0,28,7,0,0,0,3.4600503999972716,35
C2_10_1,C2,largest_demand,True,56,70563.86140542473,24215.13013840335,19150.0,28,28,0,0,0,3.4590622999239713,56
C2_10_1,C2,farthest_from_depot,True,41,35092.657956850344,17321.061707061486,19150.0,28,13,0,0,0,3.1036554999882355,41
C2_10_2,C2,earliest_due,True,36,47636.68464484153,925.6647059473823,19150.0,28,8,0,0,0,3.4565068999072537,36
C2_10_2,C2,earliest_ready,True,39,42903.08208818151,7779.834530915714,19150.0,28,11,0,0,0,3.406655899947509,39
C2_10_2,C2,largest_demand,True,51,70681.96169111732,16935.59052964803,19150.0,28,23,0,0,0,3.188732099952176,51
C2_10_2,C2,farthest_from_depot,True,41,39570.6280040369,13751.549575928671,19150.0,28,13,0,0,0,3.186886800103821,41
C2_10_3,C2,earliest_due,True,38,55881.91985021768,1172.0424676286239,19150.0,28,10,0,0,0,3.597393100033514,38
C2_10_3,C2,earliest_ready,True,44,49642.85078827855,15320.632604151664,19150.0,28,16,0,0,0,3.139790599932894,44
C2_10_3,C2,largest_demand,True,47,67451.74784874427,10830.281508971979,19150.0,28,19,0,0,0,3.0713355999905616,47
C2_10_3,C2,farthest_from_depot,True,40,37821.239803316224,16951.245066558586,19150.0,28,12,0,0,0,3.3307445999234915,40
C2_10_4,C2,earliest_due,True,38,54186.497234200986,831.3374666562861,19150.0,28,10,0,0,0,3.283017799956724,38
C2_10_4,C2,earliest_ready,True,41,48862.79268807445,11509.84775762173,19150.0,28,13,0,0,0,2.92584290006198,41
C2_10_4,C2,largest_demand,True,42,64863.67692795651,4608.464062388532,19150.0,28,14,0,0,0,3.12175000004936,42
C2_10_4,C2,farthest_from_depot,True,34,33636.36551367251,7520.379182815095,19150.0,28,6,0,0,0,3.2420197000028566,34
C2_10_5,C2,earliest_due,True,34,23961.544749023695,7439.076315503604,19150.0,28,6,0,0,0,3.8319354000268504,34
C2_10_5,C2,earliest_ready,True,34,23961.544749023695,7439.076315503604,19150.0,28,6,0,0,0,3.788729300023988,34
C2_10_5,C2,largest_demand,True,53,65410.23249290932,19186.991021904443,19150.0,28,25,0,0,0,3.2588282000506297,53
C2_10_5,C2,farthest_from_depot,True,42,42307.09198951626,13138.905645221603,19150.0,28,14,0,0,0,3.2393036000430584,42
C2_10_6,C2,earliest_due,True,42,49176.83971623464,6673.888248117442,19150.0,28,14,0,0,0,3.768609899911098,42
C2_10_6,C2,earliest_ready,True,43,53838.38507553134,7859.819120898356,19150.0,28,15,0,0,0,3.705079600098543,43
C2_10_6,C2,largest_demand,True,51,77892.78171992929,6496.8173308362675,19150.0,28,23,0,0,0,3.2206833999371156,51
C2_10_6,C2,farthest_from_depot,True,42,46762.200623378005,6205.121671715548,19150.0,28,14,0,0,0,3.313333799946122,42
C2_10_7,C2,earliest_due,True,44,64269.329560401,7445.02004756795,19150.0,28,16,0,0,0,3.602549899951555,44
C2_10_7,C2,earliest_ready,True,53,63815.03627960426,24922.97267028378,19150.0,28,25,0,0,0,3.8486791999312118,53
C2_10_7,C2,largest_demand,True,54,74251.30358876714,11229.103374483913,19150.0,28,26,0,0,0,3.349678699974902,54
C2_10_7,C2,farthest_from_depot,True,42,45276.60633924956,12256.229564958026,19150.0,28,14,0,0,0,3.134286299929954,42
C2_10_8,C2,earliest_due,True,37,34950.20818293471,9785.13857021062,19150.0,28,9,0,0,0,3.6172086999285966,37
C2_10_8,C2,earliest_ready,True,37,34950.20818293471,9785.13857021062,19150.0,28,9,0,0,0,3.5562151999911293,37
C2_10_8,C2,largest_demand,True,54,74176.40651044165,10083.936470624363,19150.0,28,26,0,0,0,3.225470299948938,54
C2_10_8,C2,farthest_from_depot,True,47,53515.62668343107,11547.082041960994,19150.0,28,19,0,0,0,3.6117768000112846,47
C2_10_9,C2,earliest_due,True,43,65603.54659494363,10222.410773657573,19150.0,28,15,0,0,0,3.6945638000033796,43
C2_10_9,C2,earliest_ready,True,51,63463.14129767852,18797.163196384514,19150.0,28,23,0,0,0,3.6632205999922007,51
C2_10_9,C2,largest_demand,True,52,83588.87289947772,3972.1024005192176,19150.0,28,24,0,0,0,4.604316400014795,52
C2_10_9,C2,farthest_from_depot,True,43,49238.032633561976,6287.99508179267,19150.0,28,15,0,0,0,3.4910754000302404,43
C2_10_10,C2,earliest_due,True,37,38870.54142277526,14110.442612666255,19150.0,28,9,0,0,0,3.4514610999030992,37
C2_10_10,C2,earliest_ready,True,37,38870.54142277526,14110.442612666255,19150.0,28,9,0,0,0,4.061366899986751,37
C2_10_10,C2,largest_demand,True,51,76410.13029132558,3010.952125557178,19150.0,28,23,0,0,0,3.2509602999780327,51
C2_10_10,C2,farthest_from_depot,True,45,54588.704566647066,8188.99805973291,19150.0,28,17,0,0,0,4.243704000022262,45
R1_10_1,R1,earliest_due,True,107,84713.96410818874,66075.0785966891,18118.0,91,16,0,0,0,4.529490999993868,107
R1_10_1,R1,earliest_ready,True,107,84713.96410818874,66075.0785966891,18118.0,91,16,0,0,0,4.543509599985555,107
R1_10_1,R1,largest_demand,True,116,113366.29516019991,58838.42138487967,18118.0,91,25,0,0,0,3.8046134000178427,116
R1_10_1,R1,farthest_from_depot,True,125,78979.45071536418,84665.80431168276,18118.0,91,34,0,0,0,3.416833399911411,125
R1_10_2,R1,earliest_due,True,92,84425.83509451167,45408.94161709902,18118.0,91,1,0,0,0,4.152630200027488,92
R1_10_2,R1,earliest_ready,True,105,95434.16307224872,55488.397863227205,18118.0,91,14,0,0,0,4.072265800088644,105
R1_10_2,R1,largest_demand,True,111,111693.12563747444,53744.14318996113,18118.0,91,20,0,0,0,4.137722700019367,111
R1_10_2,R1,farthest_from_depot,True,119,76528.76134396136,78153.37031150734,18118.0,91,28,0,0,0,3.8621828999603167,119
R1_10_3,R1,earliest_due,True,92,95401.60356440977,28946.993558752372,18118.0,91,1,0,0,0,3.435362600022927,92
R1_10_3,R1,earliest_ready,True,98,99536.00326750314,38122.571618846094,18118.0,91,7,0,0,0,3.5567200999939814,98
R1_10_3,R1,largest_demand,True,104,107939.9050602849,44385.85979717261,18118.0,91,13,0,0,0,3.7987369000911713,104
R1_10_3,R1,farthest_from_depot,True,107,80155.57847988799,66537.63558027071,18118.0,91,16,0,0,0,3.201988499960862,107
R1_10_4,R1,earliest_due,True,92,101449.42760455326,14322.97015055221,18118.0,91,1,0,0,0,6.157232500030659,92
